Category,Description,RAM,File Size,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,App
"['Sports', 'Simulation']",Cricket 24 is the culmination of a decade of Cricket video game development and includes teams from every corner of the globe.,8,60,Intel Core i3-2100,Intel Core i3-2100,NVIDIA GeForce GTX 770,NVIDIA GeForce GTX 770,NVIDIA GeForce GTX 770,12419,12419,5941,5941,5941,Cricket 24
"['Action', 'Adventure', 'Violent']","Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors, tracks the presidents kidnapped daughter to a secluded European village, where there is something terribly wrong with the locals.",8,40,Intel Core i5-7500,Ryzen 3 1200,NVIDIA GeForce GTX 1050 Ti,Radeon RX 560,NVIDIA GeForce GTX 1050 Ti,19760,6261,6339,3659,6339,Resident Evil 4 Remake
['Unknown'],"Create and manage your own city without restrictions. Offering a deep simulation and a living economy, Cities: Skylines II will challenge your decision-making skills and allow you to build the cities of your dreams. Get ready for a new epic scale in the most realistic city builder - ever.",8,60,Intel Core i7-9700K,Ryzen 5 2600X,NVIDIA GeForce GTX 970,Radeon RX 470,NVIDIA GeForce GTX 970,34465,13892,9642,7960,9642,Cities Skylines 2
"['Action', 'RPG', 'Free to Play']",Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,4,10,Intel Core 2 Duo E6400,Intel Core 2 Duo E6400,,,Intel HD 3000,594,594,260,260,260,Warframe
"['Racing', 'Simulation', 'Early Access']",A dynamic soft-body physics vehicle simulator capable of doing just about anything.,16,45,Intel Core i3-6300,FX-6300,NVIDIA GeForce GTX 550 Ti,Radeon HD 7750,NVIDIA GeForce GTX 550 Ti,8553,4223,1560,1692,1560,BeamNG.drive
"['Action', 'RPG', 'Adventure']","Story-driven open-world RPG that immerses you in an epic adventure in the Holy Roman Empire. Avenge your parents death as you battle invading forces, go on game-changing quests, and make influential choices. Explore castles, forests, villages and other realistic settings in medieval Bohemia!",8,40,AMD Phenom II X4 940,AMD Phenom II X4 940,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,2351,2351,4023,4023,4023,Kingdom Come: Deliverance
"['Action', 'Strategy', 'Indie']","Now includes all three premium DLC packs (Unto the Evil, Hell Followed, and Bloodfall), maps, modes, and weapons, as well as all feature updates including Arcade Mode, Photo Mode, and the latest Update 6.66, which brings further multiplayer improvements as well as revamps multiplayer progression.",8,55,Intel Core i5-2400,Intel Core i5-2400,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,19102,19102,4602,4602,4602,DOOM 2016
"['RPG', 'FPS', 'Third-person shooter']","Bethesda Game Studios, the award-winning creators of Fallout 3 and The Elder Scrolls V: Skyrim, welcome you to the world of Fallout 4 their most ambitious game ever, and the next generation of open-world gaming.",8,30,AMD Phenom II X4 945,AMD Phenom II X4 945,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,2413,2413,4602,4602,4602,Fallout 4
"['Racing', 'Simulation', 'MMO']","Dynamic seasons change everything at the world s greatest automotive festival. Go it alone or team up with others to explore beautiful and historic Britain in a shared open world. Collect, modify and drive over 450 cars. Race, stunt, create and explore choose your own path to become a Horizon Superstar.",8,65,Intel Core i3-4170,Intel Core i3-4170,NVIDIA GeForce GTX 650 Ti,NVIDIA GeForce GTX 650 Ti,NVIDIA GeForce GTX 650 Ti,15300,15300,2528,2528,2528,Forza Horizon 4
"['Action', 'Indie', 'Early Access']",Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,8,16,AMD FX-8350,AMD FX-8350,AMD Radeon R9 290,AMD Radeon R9 290,AMD Radeon R9 290,6084,6084,8208,8208,8208,Phasmophobia
"['Action', 'RPG', 'Adventure']","Starfield is the first new universe in 25 years from Bethesda Game Studios, the award-winning creators of The Elder Scrolls V: Skyrim and Fallout 4.",16,125,Intel Core i7-6800K,Ryzen 5 2600X,NVIDIA GeForce GTX 1070 Ti,Radeon RX 5700,NVIDIA GeForce GTX 1070 Ti,10730,13892,14680,14336,14680,Starfield
"['Animation & Modeling', 'Design & Illustration', 'Video Production']","Blender is the free and open source 3D creation suite. Free to use for everyone, for any purpose.",8,1,Intel Core i5-4590,Intel Core i5-4590,NVIDIA GeForce GTS 450,NVIDIA GeForce GTS 450,NVIDIA GeForce GTS 450,31400,31400,1318,1318,1318,Blender
"['Sports', 'Simulation']","Command every court with authenticity and realism Powered by ProPLAY , giving you ultimate control over how you play in NBA 2K25. Define your legacy in MyCAREER, MyTEAM, MyNBA, and The W.",8,150,Intel Core i3-9100,Intel Core i3-9100,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,12419,12419,6115,6115,6115,NBA 2K25
"['Action', 'Indie', 'Adventure']","Download Friends Pass* and play It Takes Two with a friend for free. Just grab a friend who owns the full game, download Friends Pass for free, and play together!",8,50,Intel Core i3-2100T,Intel Core i3-2100T,AMD Radeon R7 260X,AMD Radeon R7 260X,AMD Radeon R7 260X,12537,12537,3189,3189,3189,It Takes Two
"['Action', 'RPG']","Zenless Zone Zero is an action RPG where you play as a Proxy, guiding others through alternate dimensions called Hollows. Recruit Agents, fight Ethereals, and explore with robotic Bangboo companions. Switch between 2D dungeon crawling and intense 3D hack-and-slash combat as you uncover treasures and face enemies.",8,10,Intel Core i5-7200U,Intel Core i5-7200U,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,3371,3371,9642,9642,9642,Zenless Zone Zero
"['Action', 'Adventure', 'FPS']",No Mans Sky is a game about exploration and survival in an infinite procedurally generated universe.,8,15,Intel Core i3-3210,Intel Core i3-3210,NVIDIA GeForce GTX 1060,Radeon RX 470,NVIDIA GeForce GTX 1060,12419,12419,10081,7960,10081,No Man's Sky
"['Action', 'RPG', 'Adventure']","The Unknown Journey Continues... After escaping the city of Midgar, Cloud and his friends set out on a journey across the planet. New adventures await in a vibrant, expansive world in this standalone entry of the FFVII remake trilogy.",16,155,Core i3-8100,AMD Ryzen 5 1400,GeForce RTX 2060,AMD Radeon RX 6600,GeForce RTX 2060,6088,7735,14116,15097,14116,Final Fantasy 7 Rebirth
"['Action', 'Simulation', 'MMO']","War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.",4,17,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,NVIDIA GeForce GTX 660,Radeon HD 7750,NVIDIA GeForce GTX 660,594,594,4023,1692,4023,War Thunder
"['Action', 'RPG', 'Adventure']",Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes.,8,75,Intel Core i5-8600K,Intel Core i5-8600K,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,27629,27629,10081,10081,10081,Space Marine 2
"['Strategy', 'Simulation']",The award-winning strategy game franchise returns with a revolutionary new chapter. Sid Meiers Civilization VII empowers you to build the greatest empire the world has ever known!,8,20,Intel Core i3-10100,Ryzen 3 1200,NVIDIA GeForce GTX 1050,Radeon RX 460,NVIDIA GeForce GTX 1050,12419,6261,5030,4092,5030,Sid Meier’s Civilization 7
"['Action', 'Adventure', 'FPS']","Game of the Year - The Game Awards 2019 Best Action Game of 2019 - IGN Carve your own clever path to vengeance in the award winning adventure from developer FromSoftware, creators of Bloodborne and the Dark Souls series. Take Revenge. Restore Your Honor. Kill Ingeniously.",4,25,Intel Core i3-2100,Intel Core i3-2100,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,12419,12419,4806,4806,4806,Sekiro: Shadows Die Twice
"['Action', 'Strategy', 'Indie']","Bodycam is the first ultra-realistic multiplayer, first-person shooter game made using the latest technologies of the next-gen game engine Unreal Engine 5. Get ready to dive into fast-paced Bodycam actions, where every bullet counts and every choice can decide over the victory or loss of your team.",8,50,Intel Core i7-9700K / Core i7-9700K,Intel Core i7-9700K / Core i7-9700K,GeForce RTX 2070,AMD Radeon RX 5700,GeForce RTX 2070,34465,34465,16101,14336,16101,Bodycam
"['Action', 'RPG']","Dragon s Dogma 2 is a single player, narrative driven action-RPG that challenges the players to choose their own experience from the appearance of their Arisen, their vocation, their party, how to approach different situations and more - in a truly immersive fantasy world.",16,100,Intel Core i5-10600,Ryzen 5 3600,NVIDIA GeForce GTX 1070,Radeon RX 5500 XT,NVIDIA GeForce GTX 1070,21435,17708,13498,9091,13498,Dragon's Dogma 2
"['Action', 'RPG', 'Adventure']",Become a deadly Master Assassin in this action-adventure game. Explore the streets of ninth-century Baghdad through the eyes of Basim. Take down your targets while seeking justice as part of the Hidden Ones.,8,40,Core i7-4790K,AMD Ryzen 5 1600,GeForce GTX 1060,AMD Radeon RX 570,GeForce GTX 1060,8062,12275,10081,610,10081,Assassin's Creed Mirage
['Unknown'],"Discover a reborn Mortal Kombat Universe created by the Fire God Liu Kang. Mortal Kombat 1 ushers in a new era of the iconic franchise with a new fighting system, game modes, and fatalities!",8,100,Intel Core i5-6600,Ryzen 3 3100,GeForce GTX 980,AMD Radeon RX 470,GeForce GTX 980,21435,11563,11112,610,11112,Mortal Kombat 1
"['Action', 'Adventure', 'FPS']","Hidden in the towering Himalayas lies Kyrat, a country steeped in tradition and violence. You are Ajay Ghale. Traveling to Kyrat to fulfill your mother s dying wish, you find yourself caught up in a civil war to overthrow the oppressive regime of dictator Pagan Min.",4,30,Intel Core i5-750,Intel Core i5-750,ATI Radeon HD 5850,ATI Radeon HD 5850,ATI Radeon HD 5850,1326,1326,1968,1968,1968,Far Cry 4
"['Indie', 'Simulation']","Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.",4,3,Intel Celeron J1800,Intel Celeron J1800,,,Intel HD 4000,572,572,345,345,345,Euro Truck Simulator 2
"['Action', 'Casual', 'Adventure']","In Marvel s Spider-Man Remastered, the worlds of Peter Parker and Spider-Man collide in an original action-packed story. Play as an experienced Peter Parker, fighting big crime and iconic villains in Marvel s New York. Web-swing through vibrant neighborhoods and defeat villains with epic takedowns.",8,75,Intel Core i3-4160,Intel Core i3-4160,NVIDIA GeForce GTX 950,NVIDIA GeForce GTX 950,NVIDIA GeForce GTX 950,15300,15300,5343,5343,5343,Marvel’s Spider-Man Remastered
['Unknown'],Celebrate 25 years of PES with the eFootball PES 2021 Season Update* - available at a special anniversary price!,8,40,Intel Core i5-3470,Intel Core i5-3470,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,23679,23679,4602,4602,4602,eFootball PES 2021
"['Action', 'RPG', 'Adventure']","Rise from survival to greatness and challenge the power of an Imperium in Dune: Awakening, a multiplayer survival game on a massive scale. Survive the sandworm, craft your ornithopter, build a fortress, and ascend to power on an open world Arrakis shared with hundreds of other players.",16,60,Intel Core i5-7400,Ryzen 3 1200,NVIDIA GeForce GTX 1060,Radeon RX 5600 XT,NVIDIA GeForce GTX 1060,19102,6261,10081,13483,10081,Dune: Awakening
"['Action', 'RPG', 'Adventure']","Join the fight for Sanctuary in Diablo IV, the ultimate action RPG adventure. Experience the critically acclaimed campaign and new seasonal content.",8,90,Intel Core i5-2500K,FX-8100,NVIDIA GeForce GTX 660,Radeon R9 280,NVIDIA GeForce GTX 660,19760,4095,4023,5542,4023,Diablo 4
"['Casual', 'Simulation']",Roleplay as god controlling the entire world around you without consequences. Express your creativity by customising your sims in hundreds of different ways. Simulate your life and others. Do all this and more in Maxis EA s Sims 4.,2,20,Intel Core 2 Duo T7600,Intel Core 2 Duo T7600,ATI Radeon HD 2600 PRO,ATI Radeon HD 2600 PRO,ATI Radeon HD 2600 PRO,594,594,211,211,211,The Sims 4
"['Action', 'FPS', 'JRPG']","Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.",8,20,Intel Core i5-4460,Intel Core i5-4460,AMD Radeon R7 260X,AMD Radeon R7 260X,AMD Radeon R7 260X,25352,25352,3189,3189,3189,Monster Hunter: World
"['Strategy', 'Simulation']",Jurassic World Evolution 2 is the much-anticipated sequel to Frontier s highly successful Jurassic World Evolution. This bold new era in the Jurassic World Evolution game franchise builds upon the ground-breaking and immersive 2018 management simulation.,8,14,Intel Core i5-4590,Intel Core i5-4590,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,31400,31400,6339,6339,6339,Jurassic World Evolution 2
"['Action', 'Adventure', 'MMO']","How long can you survive a post-apocalyptic world? A land overrun with an infected zombie population, where you compete with other survivors for limited resources. Will you team up with strangers and stay strong together? Or play as a lone wolf to avoid betrayal? This is DayZ this is your story.",8,16,Intel Core i5-4430,Intel Core i5-4430,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,25352,25352,4806,4806,4806,DayZ
"['Action', 'Strategy', 'RPG']","Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world.",8,50,Intel Core i5-4460,Intel Core i5-4460,NVIDIA GeForce GTX 750 Ti,NVIDIA GeForce GTX 750 Ti,NVIDIA GeForce GTX 750 Ti,25352,25352,3898,3898,3898,Once Human
['Unknown'],"Building upon years of development on the Cfx.re framework, which has existed in various forms since 2014, FiveM is the original community-driven and source-available GTA V multiplayer modification project.",8,76,Intel Core 2 Quad Q6600,Phenom 9850,NVIDIA GeForce 9800 GT,Radeon HD 4870 X2,NVIDIA GeForce 9800 GT,756,1712,453,1309,453,FiveM
"['Action', 'Adventure']","Enter the world of the ultimate assassin. HITMAN World of Assassination delivers the definitive stealth action experience, putting you in the shoes of Agent 47, a master assassin. Explore immersive locations, uncover hidden secrets, and eliminate targets with complete freedom of approach.",8,60,Intel Core i5-2500K,Intel Core i5-2500K,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,19760,19760,4602,4602,4602,HITMAN World of Assassination
